Symbol,Name,LastSale, MarketCap ,IPOyear,Sector,industry,Summary Quote
AABA,Altaba Inc.,70.15, $36.44B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
AAL,"American Airlines Group, Inc.",27.51, $12.25B ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,2.451, $49.37M ,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame
AAOI,"Applied Optoelectronics, Inc.",9.85, $197.28M ,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",44.95, $2.34B ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
AAPL,Apple Inc.,208.97, $944.37B ,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
AAWW,Atlas Air Worldwide Holdings,28.45, $735.55M ,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,64.48, $3.73B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",58.78, $3.48B ,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn
ABCB,Ameris Bancorp,36.98, $2.57B ,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
ABDC,Alcentra Capital Corp.,9.24, $118.97M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ABEO,Abeona Therapeutics Inc.,2.39, $117.86M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,0.15, n/a ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.67, $5.39M ,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABIO,"ARCA biopharma, Inc.",6.11, $8.89M ,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",197.15, $8.95B ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABTX,"Allegiance Bancshares, Inc.",32.42, $685.95M ,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,1.55, $88.12M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus
ACAD,ACADIA Pharmaceuticals Inc.,29.45, $4.26B ,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.9, $378.15M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.05, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.76, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw
ACBI,"Atlantic Capital Bancshares, Inc.",17.44, $399.01M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi
ACER,Acer Therapeutics Inc.,2.45, $24.71M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACGL,Arch Capital Group Ltd.,39.46, $15.98B ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl
ACGLO,Arch Capital Group Ltd.,25.65, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,24.79, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp
ACHC,"Acadia Healthcare Company, Inc.",29.02, $2.57B ,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACHN,"Achillion Pharmaceuticals, Inc.",4.69, $655.16M ,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACHV,"Achieve Life Sciences, Inc. ",1.9, $15.39M ,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACIA,"Acacia Communications, Inc.",65.05, $2.67B ,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACIU,AC Immune SA,5.46, $368.89M ,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",29.04, $3.39B ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",15.28, $494.03M ,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
ACMR,"ACM Research, Inc.",18.31, $304.67M ,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,36.57, $258.54M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",2.73, $131.33M ,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ACRS,"Aclaris Therapeutics, Inc.",0.8277, $34.24M ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",2.27, $180.32M ,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACST,"Acasti Pharma, Inc.",1.93, $159.58M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
ACT,AdvisorShares Vice ETF,24.3523, $13.39M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
ACTG,Acacia Research Corporation,2.95, $147.89M ,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACTT,Act II Global Acquisition Corp.,9.83, $368.63M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,10.22, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,0.79, $17.18M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw
ACWI,iShares MSCI ACWI Index Fund,72.21, $10.6B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,44.71, $3.74B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwx
ADAP,Adaptimmune Therapeutics plc,1.75, $183.97M ,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADBE,Adobe Inc.,293.17, $142.32B ,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADES,"Advanced Emissions Solutions, Inc.",12.17, $226.09M ,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
ADI,"Analog Devices, Inc.",113.02, $41.79B ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
ADIL,"Adial Pharmaceuticals, Inc",1.7196, $17.58M ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.15, n/a ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,3.86, $228.97M ,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,1.15, $70.65M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",6.22, $172.74M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADOM,"ADOMANI, Inc.",0.1825, $13.3M ,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADP,"Automatic Data Processing, Inc.",168.71, $73.21B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/adp
ADPT,Adaptive Biotechnologies Corporation,43.08, $5.31B ,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adpt
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,29.8038, $17.88M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adra
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,20.65, $30.98M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adrd
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,37.68, $124.34M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",1.32, $105.79M ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADRU,Invesco BLDRS Europe Select ADR Index Fund,20.1099, $11.06M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adru
ADSK,"Autodesk, Inc.",151.81, $33.34B ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk
ADTN,"ADTRAN, Inc.",11.19, $534.98M ,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,83.71, $1.11B ,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",11.6, $747.73M ,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
ADXS,"Advaxis, Inc.",0.4167, $7.78M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
AEGN,Aegion Corp,19.37, $598.42M ,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.34, $30.23M ,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",48.77, $1.87B ,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AEMD,"Aethlon Medical, Inc.",0.2321, $4.43M ,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
AERI,"Aerie Pharmaceuticals, Inc.",24.38, $1.12B ,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AESE,"Allied Esports Entertainment, Inc.",3.57, $30.16M ,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/aese
AESEW,"Allied Esports Entertainment, Inc.",0.22, n/a ,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/aesew
AEY,"ADDvantage Technologies Group, Inc.",1.88, $19.48M ,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
AEYE,"AudioEye, Inc.",5.5, $42.11M ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye
AEZS,AEterna Zentaris Inc.,2.49, $40.94M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AFH,"Atlas Financial Holdings, Inc.",0.3593, $4.29M ,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afh
AFHBL,"Atlas Financial Holdings, Inc.",8.4103, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afhbl
AFIN,"American Finance Trust, Inc.",12.09, $1.28B ,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",25.54, $30.65M ,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afinp
AFMD,Affimed N.V.,2.82, $176.08M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AFYA,Afya Limited,25.06, $2.2B ,2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/afya
AGBA,AGBA Acquisition Limited,10, $59.75M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.225, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.1, $60.35M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.15, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbaw
AGEN,Agenus Inc.,2.73, $374.86M ,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",1.46, $75.11M ,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.009, n/a ,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
AGIO,"Agios Pharmaceuticals, Inc.",42.88, $2.52B ,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",7.98, $230.51M ,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AGMH,AGM Group Holdings Inc.,17.5, $373.03M ,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,16.77, $9.19B ,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.7, $8.9B ,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCM,AGNC Investment Corp.,25.75, n/a ,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,26.12," $339,560.00 ",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,40.72, $24.43M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agnd
AGRX,"Agile Therapeutics, Inc.",1.15, $68.2M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGTC,Applied Genetic Technologies Corporation,3.51, $63.78M ,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agtc
AGYS,"Agilysys, Inc.",27.68, $655.33M ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.66, $81.02M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agzd
AHPI,"Allied Healthcare Products, Inc.",1.45, $5.82M ,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AIA,iShares Asia 50 ETF,56.23, $1.01B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aia
AIHS,Senmiao Technology Limited,0.94, $26.06M ,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/aihs
AIMC,Altra Industrial Motion Corp.,25.14, $1.62B ,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc
AIMT,"Aimmune Therapeutics, Inc.",21.56, $1.35B ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AINV,Apollo Investment Corporation,16.2, $1.1B ,2004,n/a,n/a,https://www.nasdaq.com/symbol/ainv
AIQ,Global X Future Analytics Tech ETF,16.04, $37.69M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiq
AIRG,"Airgain, Inc.",12.41, $120.57M ,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AIRR,First Trust RBA American Industrial Renaissance ETF,25.33, $68.39M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/airr
AIRT,"Air T, Inc.",17.75, $53.9M ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
AIRTP,"Air T, Inc.",2.39, n/a ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.05, n/a ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtw
AKAM,"Akamai Technologies, Inc.",89.37, $14.74B ,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKBA,"Akebia Therapeutics, Inc.",4.48, $532.51M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKCA,"Akcea Therapeutics, Inc.",21.45, $2B ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKER,Akers Biosciences Inc.,0.5497, $6.87M ,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRO,"Akero Therapeutics, Inc.",26.28, $710.75M ,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akro
AKRX,"Akorn, Inc.",2.81, $354.46M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",5.85, $175.83M ,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
AKTX,Akari Therapeutics Plc,1.8, $33.98M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
ALAC,Alberton Acquisition Corporation,10.14, $148.95M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.26, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.51, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.129, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",22.67, $287.58M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ALCO,"Alico, Inc.",32.29, $241.42M ,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALDR,"Alder BioPharmaceuticals, Inc.",9.81, $820.48M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",5.4, $148.92M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",17.8, $1.23B ,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec
ALGN,"Align Technology, Inc.",182, $14.54B ,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALGR,Allegro Merger Corp.,10.14, $193.27M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.23, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.53, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.2587, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw
ALGT,Allegiant Travel Company,142.65, $2.33B ,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALIM,"Alimera Sciences, Inc.",0.57, $40.47M ,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",1.62, $67.92M ,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,21.95, $3.45B ,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,87.6, $4.24B ,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
ALLO,"Allogene Therapeutics, Inc.",28.36, $3.45B ,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo
ALLT,Allot Ltd.,7.22, $247.73M ,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
ALNA,"Allena Pharmaceuticals, Inc.",3.99, $93.63M ,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
ALNY,"Alnylam Pharmaceuticals, Inc.",80, $8.9B ,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
ALOT,"AstroNova, Inc.",22.2, $155.58M ,1983,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot
ALPN,"Alpine Immune Sciences, Inc.",3.5604, $66.12M ,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn
ALRM,"Alarm.com Holdings, Inc.",46.75, $2.27B ,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALRN,"Aileron Therapeutics, Inc.",0.61, $16.96M ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
ALSK,"Alaska Communications Systems Group, Inc.",1.7314, $92.69M ,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALT,"Altimmune, Inc.",2.12, $32.52M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt
ALTM,Altus Midstream Company,2.72, $883.81M ,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm
ALTR,Altair Engineering Inc.,34.81, $2.49B ,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr
ALTY,Global X SuperDividend Alternatives ETF,14.71, $28.69M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alty
ALXN,"Alexion Pharmaceuticals, Inc.",111.47, $24.99B ,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALYA,Alithya Group inc.,2.75, $133.38M ,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya
AMAG,"AMAG Pharmaceuticals, Inc.",11.99, $406.47M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,15.51, $492.78M ,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal
AMAT,"Applied Materials, Inc.",48.06, $44.99B ,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat
AMBA,"Ambarella, Inc.",45.75, $1.5B ,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba
AMBC,"Ambac Financial Group, Inc.",18.75, $854.09M ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",8.1935, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,28.17, $7.04M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amca
AMCI,AMCI Acquisition Corp.,9.98, $275.1M ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci
AMCIU,AMCI Acquisition Corp.,10.17, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu
AMCIW,AMCI Acquisition Corp.,0.31, n/a ,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw
AMCX,AMC Networks Inc.,51.17, $2.85B ,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx
AMD,"Advanced Micro Devices, Inc.",32.11, $34.86B ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
AMED,Amedisys Inc,134.64, $4.33B ,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed
AMEH,"Apollo Medical Holdings, Inc.",14.77, $530.24M ,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ameh
AMGN,Amgen Inc.,206.12, $123.61B ,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn
AMKR,"Amkor Technology, Inc.",8.95, $2.15B ,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
AMNB,"American National Bankshares, Inc.",35.39, $394.36M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb
AMOT,"Allied Motion Technologies, Inc.",34.83, $334.36M ,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
AMOV,"America Movil, S.A.B. de C.V.",13.5, $44.56B ,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMPH,"Amphastar Pharmaceuticals, Inc.",20.85, $984.67M ,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph
AMR,"Alta Mesa Resources, Inc.",0.1418, $54.01M ,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr
AMRB,American River Bankshares,12.6731, $74.81M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb
AMRH,"Ameri Holdings, Inc.",0.33, $16.6M ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.0563, n/a ,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw
AMRK,"A-Mark Precious Metals, Inc.",14.47, $101.75M ,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMRN,Amarin Corporation plc,14.29, $5.1B ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn
AMRS,"Amyris, Inc.",3.87, $398.83M ,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
AMRWW,"Alta Mesa Resources, Inc.",0.0087, n/a ,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww
AMSC,American Superconductor Corporation,7.84, $169.08M ,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc
AMSF,"AMERISAFE, Inc.",66.9, $1.29B ,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf
AMSWA,"American Software, Inc.",13.82, $433.34M ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa
AMTB,Amerant Bancorp Inc.,17.27, $746.14M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb
AMTBB,Amerant Bancorp Inc.,14.05, $607.02M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb
AMTD,TD Ameritrade Holding Corporation,44.42, $24.37B ,1997,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/amtd
AMTX,"Aemetis, Inc",0.8999, $18.51M ,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AMWD,American Woodmark Corporation,78.9, $1.33B ,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
AMZN,"Amazon.com, Inc.",1824.34, $902.42B ,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
ANAB,"AnaptysBio, Inc.",48.99, $1.33B ,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab
ANAT,American National Insurance Company,114.65, $3.08B ,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat
ANCN,Anchiano Therapeutics Ltd.,2.79, $20.7M ,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ancn
ANDA,Andina Acquisition Corp. III,9.95, $138.26M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. III,0.28, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. III,10.4, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/andau
